trade_date,stock_code,trade_time,open,close,high,low,volume,amount,change_pct,change,turnover_ratio,pre_close,m5,m10,wave
2015-05-27,300468,2015-05-27 00:00:00,4.77,5.24,5.24,4.77,5200,139327.0,50.14,1.75,0.02,3.49,,,
2015-05-28,300468,2015-05-28 00:00:00,5.82,5.82,5.82,5.82,2100,62391.0,11.07,0.58,0.01,5.24,,,
2015-05-29,300468,2015-05-29 00:00:00,6.45,6.45,6.45,6.45,3900,127452.0,10.82,0.63,0.02,5.82,,,
2015-06-01,300468,2015-06-01 00:00:00,7.14,7.14,7.14,7.14,1100,39545.0,10.7,0.69,0.0,6.45,,,
2015-06-02,300468,2015-06-02 00:00:00,7.9,7.9,7.9,7.9,600,23730.0,10.64,0.76,0.0,7.14,6.51,,
2015-06-03,300468,2015-06-03 00:00:00,8.74,8.74,8.74,8.74,4800,208848.0,10.63,0.84,0.02,7.9,7.21,,
2015-06-04,300468,2015-06-04 00:00:00,9.67,9.67,9.67,9.67,5400,258444.0,10.64,0.93,0.02,8.74,7.98,,
2015-06-05,300468,2015-06-05 00:00:00,10.68,10.68,10.68,10.68,5000,263250.0,10.44,1.01,0.02,9.67,8.83,,
2015-06-08,300468,2015-06-08 00:00:00,11.8,11.8,11.8,11.8,9700,561824.0,10.49,1.12,0.04,10.68,9.76,,
2015-06-09,300468,2015-06-09 00:00:00,13.03,13.03,13.03,13.03,28500,1815735.0,10.42,1.23,0.11,11.8,10.78,8.65,191.92
2015-06-10,300468,2015-06-10 00:00:00,14.38,14.38,14.38,14.38,13900,974112.0,10.36,1.35,0.06,13.03,11.91,9.56,192.14
2015-06-11,300468,2015-06-11 00:00:00,15.86,15.86,15.86,15.86,6100,470249.0,10.29,1.48,0.02,14.38,13.15,10.57,192.58
2015-06-12,300468,2015-06-12 00:00:00,17.5,17.5,17.5,17.5,12500,1060000.0,10.34,1.64,0.05,15.86,14.51,11.67,193.21
2015-06-15,300468,2015-06-15 00:00:00,19.3,19.3,19.3,19.3,49300,4598704.0,10.29,1.8,0.2,17.5,16.01,12.89,193.98
2015-06-16,300468,2015-06-16 00:00:00,21.28,21.28,21.28,21.28,202200,20745997.0,10.26,1.98,0.81,19.3,17.66,14.22,194.8
2015-06-17,300468,2015-06-17 00:00:00,23.45,23.45,23.45,23.45,356000,40183864.0,10.2,2.17,1.42,21.28,19.48,15.69,195.66
2015-06-18,300468,2015-06-18 00:00:00,24.96,25.85,25.85,23.69,15614600,1881292528.0,10.23,2.4,62.46,23.45,21.48,17.31,196.13
2015-06-19,300468,2015-06-19 00:00:00,24.34,25.39,28.15,24.22,9339300,1178435936.0,-1.78,-0.46,37.36,25.85,23.05,18.78,195.09
2015-06-23,300468,2015-06-23 00:00:00,25.25,26.36,27.93,22.85,8443400,1052945808.0,3.82,0.97,33.77,25.39,24.47,20.24,192.21
2015-06-24,300468,2015-06-24 00:00:00,27.82,24.54,28.78,23.95,7603800,956177648.0,-6.9,-1.82,30.42,26.36,25.12,21.39,187.36
2015-06-25,300468,2015-06-25 00:00:00,23.27,22.04,24.56,22.04,6512400,722468848.0,-10.19,-2.5,26.05,24.54,24.84,22.16,177.66
2015-06-26,300468,2015-06-26 00:00:00,20.51,19.79,20.68,19.79,2849800,275074048.0,-10.21,-2.25,11.4,22.04,23.62,22.55,161.3
2015-06-29,300468,2015-06-29 00:00:00,18.29,17.76,18.77,17.76,5350200,462580480.0,-10.26,-2.03,21.4,19.79,22.1,22.58,139.19
2015-06-30,300468,2015-06-30 00:00:00,16.29,17.77,18.58,15.93,5392300,446332048.0,0.06,0.01,21.57,17.76,20.38,22.42,116.03
2015-07-01,300468,2015-07-01 00:00:00,17.01,15.95,19.48,15.95,5503500,479857568.0,-10.24,-1.82,22.01,17.77,18.66,21.89,94.27
2015-07-02,300468,2015-07-02 00:00:00,16.06,15.35,16.86,15.02,4524700,352310416.0,-3.76,-0.6,18.1,15.95,17.32,21.08,74.42
2015-07-03,300468,2015-07-03 00:00:00,14.4,14.94,16.27,14.08,3690700,267902222.0,-2.67,-0.41,14.76,15.35,16.35,19.99,57.19
2015-07-06,300468,2015-07-06 00:00:00,16.49,13.4,16.49,13.4,3733800,270844816.0,-10.31,-1.54,14.94,14.94,15.48,18.79,42.1
2015-07-07,300468,2015-07-07 00:00:00,12.45,12.01,12.69,12.01,1314400,77942632.0,-10.37,-1.39,5.26,13.4,14.33,17.36,27.18
2015-07-08,300468,2015-07-08 00:00:00,10.76,10.78,10.96,10.76,4353100,231037066.0,-10.24,-1.23,17.41,12.01,13.3,15.98,11.71
2015-07-09,300468,2015-07-09 00:00:00,10.76,11.9,11.9,10.76,2226000,127082879.0,10.39,1.12,8.9,10.78,12.61,14.96,-1.4
2015-07-10,300468,2015-07-10 00:00:00,13.14,13.14,13.14,12.9,886300,56915307.0,10.42,1.24,3.55,11.9,12.25,14.3,-9.22
2015-07-13,300468,2015-07-13 00:00:00,14.5,14.5,14.5,14.12,1000400,70631807.0,10.35,1.36,4.0,13.14,12.47,13.97,-10.34
2015-07-14,300468,2015-07-14 00:00:00,16.0,16.0,16.0,16.0,289400,22497662.0,10.34,1.5,1.16,14.5,13.26,13.8,-3.55
2015-07-15,300468,2015-07-15 00:00:00,16.14,14.9,16.48,14.55,4337500,328111040.0,-6.88,-1.1,17.35,16.0,14.09,13.69,4.48
2015-07-16,300468,2015-07-16 00:00:00,13.36,15.52,16.44,13.36,2779300,208401759.0,4.16,0.62,11.12,14.9,14.81,13.71,12.49
2015-07-17,300468,2015-07-17 00:00:00,15.42,16.59,17.11,15.1,4126500,324151824.0,6.89,1.07,16.51,15.52,15.5,13.87,22.85
2015-07-20,300468,2015-07-20 00:00:00,15.85,16.73,17.44,15.85,2382900,194517229.0,0.84,0.14,9.53,16.59,15.95,14.21,33.68
2015-07-21,300468,2015-07-21 00:00:00,16.4,17.4,17.97,16.1,1760800,147318210.0,4.0,0.67,7.04,16.73,16.23,14.75,44.56
2015-07-22,300468,2015-07-22 00:00:00,17.52,17.33,17.72,16.84,1460500,122069086.0,-0.4,-0.07,5.84,17.4,16.71,15.4,54.89
2015-07-23,300468,2015-07-23 00:00:00,17.46,19.11,19.11,17.32,2056900,182227210.0,10.27,1.78,8.23,17.33,17.43,16.12,68.48
2015-07-24,300468,2015-07-24 00:00:00,19.5,18.6,20.47,18.36,2750500,259777139.0,-2.67,-0.51,11.0,19.11,17.83,16.67,83.18
2015-07-27,300468,2015-07-27 00:00:00,17.84,16.69,18.36,16.69,2808500,238191957.0,-10.27,-1.91,11.23,18.6,17.83,16.89,89.46
2015-07-28,300468,2015-07-28 00:00:00,14.97,14.97,16.46,14.97,2531100,187096820.0,-10.31,-1.72,10.12,16.69,17.34,16.78,83.77
2015-07-29,300468,2015-07-29 00:00:00,15.42,15.63,15.77,13.55,2337000,166898511.0,4.41,0.66,9.35,14.97,17.0,16.86,72.31
2015-07-30,300468,2015-07-30 00:00:00,15.37,14.95,16.46,14.57,2063600,157361163.0,-4.35,-0.68,8.25,15.63,16.17,16.8,59.82
2015-07-31,300468,2015-07-31 00:00:00,14.17,14.36,15.38,13.98,1400700,99539271.0,-3.95,-0.59,5.6,14.95,15.32,16.58,46.38
2015-08-03,300468,2015-08-03 00:00:00,14.04,12.89,14.55,12.88,1378900,90399367.0,-10.24,-1.47,5.52,14.36,14.56,16.19,31.66
2015-08-04,300468,2015-08-04 00:00:00,13.01,14.0,14.0,12.83,2295700,148939371.0,8.61,1.11,9.18,12.89,14.37,15.85,19.93
2015-08-05,300468,2015-08-05 00:00:00,13.76,14.26,14.95,13.62,2279600,157982491.0,1.86,0.26,9.12,14.0,14.09,15.55,12.84
2015-08-06,300468,2015-08-06 00:00:00,13.72,13.75,14.33,13.53,1253700,85233755.0,-3.58,-0.51,5.01,14.26,13.85,15.01,7.56
2015-08-07,300468,2015-08-07 00:00:00,14.15,14.93,15.17,13.88,2225200,158982442.0,8.58,1.18,8.9,13.75,13.97,14.64,6.84
2015-08-10,300468,2015-08-10 00:00:00,15.04,15.95,16.18,14.77,1980600,148973985.0,6.83,1.02,7.92,14.93,14.58,14.57,15.11
2015-08-11,300468,2015-08-11 00:00:00,15.84,15.78,16.48,15.58,1922200,148880406.0,-1.07,-0.17,7.69,15.95,14.93,14.65,27.33
2015-08-12,300468,2015-08-12 00:00:00,15.53,14.71,15.76,14.7,1640200,121188407.0,-6.78,-1.07,6.56,15.78,15.02,14.56,34.27
2015-08-13,300468,2015-08-13 00:00:00,14.36,14.83,14.85,14.16,1957100,138296098.0,0.82,0.12,7.83,14.71,15.24,14.55,36.14
2015-08-14,300468,2015-08-14 00:00:00,14.9,14.74,15.07,14.62,1613400,116452693.0,-0.61,-0.09,6.45,14.83,15.2,14.58,36.36
2015-08-17,300468,2015-08-17 00:00:00,14.79,14.13,14.79,13.52,1296900,88923552.0,-4.14,-0.61,5.19,14.74,14.84,14.71,31.07
2015-08-18,300468,2015-08-18 00:00:00,13.9,12.73,14.25,12.7,1721800,113889896.0,-9.91,-1.4,6.89,14.13,14.23,14.58,18.27
2015-08-19,300468,2015-08-19 00:00:00,12.24,12.89,13.03,11.84,1050300,63968119.0,1.26,0.16,4.2,12.73,13.86,14.44,3.58
2015-08-20,300468,2015-08-20 00:00:00,12.66,12.2,12.79,12.18,1219300,74213363.0,-5.35,-0.69,4.88,12.89,13.34,14.29,-9.74
2015-08-21,300468,2015-08-21 00:00:00,11.32,11.37,12.03,11.32,1196800,68303642.0,-6.8,-0.83,4.79,12.2,12.66,13.93,-21.77
2015-08-24,300468,2015-08-24 00:00:00,10.47,10.18,11.31,10.18,1016400,51796731.0,-10.47,-1.19,4.07,11.37,11.87,13.36,-33.28
2015-08-25,300468,2015-08-25 00:00:00,9.16,9.12,10.06,9.12,1393500,64737632.0,-10.41,-1.06,5.57,10.18,11.15,12.69,-44.39
2015-08-26,300468,2015-08-26 00:00:00,9.31,9.31,10.08,8.87,2497300,119379032.0,2.08,0.19,9.99,9.12,10.44,12.15,-52.39
2015-08-27,300468,2015-08-27 00:00:00,9.59,9.75,10.03,9.02,1396600,66494231.0,4.73,0.44,5.59,9.31,9.95,11.64,-56.34
2015-08-28,300468,2015-08-28 00:00:00,9.91,10.37,10.39,9.65,1645800,81274539.0,6.36,0.62,6.58,9.75,9.75,11.2,-55.84
2015-08-31,300468,2015-08-31 00:00:00,10.16,9.29,10.16,9.29,1247500,59703845.0,-10.41,-1.08,4.99,10.37,9.57,10.72,-55.26
2015-09-01,300468,2015-09-01 00:00:00,8.95,8.31,9.05,8.31,997400,42650493.0,-10.55,-0.98,3.99,9.29,9.41,10.28,-57.72
2015-09-02,300468,2015-09-02 00:00:00,7.74,8.27,9.06,7.68,1371900,57655680.0,-0.48,-0.04,5.49,8.31,9.2,9.82,-61.56
2015-09-07,300468,2015-09-07 00:00:00,8.44,8.62,8.94,8.34,778200,33614681.0,4.23,0.35,3.11,8.27,8.97,9.46,-64.67
2015-09-08,300468,2015-09-08 00:00:00,8.46,9.38,9.39,8.45,1127100,50322880.0,8.82,0.76,4.51,8.62,8.77,9.26,-64.45
2015-09-09,300468,2015-09-09 00:00:00,9.57,9.86,10.1,9.36,1669500,80880877.0,5.12,0.48,6.68,9.38,8.89,9.23,-56.51
2015-09-10,300468,2015-09-10 00:00:00,9.76,9.5,9.82,9.49,774600,37115931.0,-3.65,-0.36,3.1,9.86,9.13,9.27,-46.96
2015-09-11,300468,2015-09-11 00:00:00,9.55,9.65,9.86,9.49,720200,34515540.0,1.58,0.15,2.88,9.5,9.4,9.3,-36.25
2015-09-14,300468,2015-09-14 00:00:00,9.74,8.64,9.8,8.64,753800,33871969.0,-10.47,-1.01,3.02,9.65,9.41,9.19,-31.68
2015-09-15,300468,2015-09-15 00:00:00,8.24,7.93,8.67,7.9,710500,29748220.0,-8.22,-0.71,2.84,8.64,9.12,8.94,-36.7
2015-09-16,300468,2015-09-16 00:00:00,8.18,8.77,8.77,7.97,641400,26802317.0,10.59,0.84,2.57,7.93,8.9,8.89,-40.61
